Data,Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Status,Anomalia,Unnamed: 10,Humidade,Temperatura,Media,Cogumelo
09/05/2025 20:46:24,00:00:33,85.178763,202.897936,26.915222,584.777445,-60.759485,-75.735152,-1,0.0,0.0,0.0,0.0,127.21245483333331,0
09/05/2025 20:46:25,00:00:34,65.062195,202.488154,25.462359,586.677343,-60.57322,-75.399876,-1,0.0,0.0,0.0,0.0,123.9528258333333,0
09/05/2025 20:46:26,00:00:35,69.756061,210.38577,29.373914,-151.582062,-59.362501,-72.922558,-1,0.0,0.0,0.0,0.0,4.274770666666671,0
09/05/2025 20:46:27,00:00:36,87.823719,209.435821,26.896596,-134.054571,-59.772283,-75.921416,-1,0.0,0.0,0.0,0.0,9.067977666666664,0
09/05/2025 20:46:28,00:00:37,118.277967,210.32989,24.847686,-112.839043,-59.47426,-74.878335,-1,0.0,0.0,0.0,0.0,17.710650833333336,0
09/05/2025 20:46:29,00:00:38,172.313303,210.367143,22.51938,-91.567636,-58.84096,-74.729323,-1,0.0,0.0,0.0,0.0,30.010317833333332,0
09/05/2025 20:46:30,00:00:39,141.747296,205.319375,21.68119,79.013407,-58.058649,-75.58614,-1,0.0,0.0,0.0,0.0,52.352746500000016,0
09/05/2025 20:46:31,00:00:40,142.678618,205.859542,20.246953,46.659261,-57.350844,-75.567514,-1,0.0,0.0,0.0,0.0,47.08766933333334,0
09/05/2025 20:46:32,00:00:41,157.821923,205.785036,20.600855,6.854534,-55.748969,-74.934214,-1,0.0,0.0,0.0,0.0,43.3965275,0
09/05/2025 20:46:33,00:00:42,134.315342,206.92125,21.252781,-33.676624,-57.406723,-74.543059,-1,0.0,0.0,0.0,0.0,32.8104945,0
09/05/2025 20:46:34,00:00:43,111.237168,206.623226,22.128224,-82.459301,-56.717545,-72.75492,-1,0.0,0.0,0.0,0.0,21.342808666666667,0
09/05/2025 20:46:35,00:00:44,90.33829,198.222697,17.676502,609.73689,-57.574362,-70.668757,-1,0.0,0.0,0.0,0.0,131.28854333333334,0
09/05/2025 20:46:36,00:00:45,75.64202,197.496265,17.099082,580.456108,-58.189034,-70.761889,-1,0.0,0.0,0.0,0.0,123.62375866666667,0
09/05/2025 20:46:37,00:00:46,65.50923,197.663903,16.912818,537.168235,-57.928264,-71.302056,-1,0.0,0.0,0.0,0.0,114.67064433333333,0
09/05/2025 20:46:38,00:00:47,64.857304,197.272748,18.049031,474.713743,-55.413693,-71.655959,-1,0.0,0.0,0.0,0.0,104.63719566666668,0
09/05/2025 20:46:39,00:00:48,50.291419,201.612711,17.154962,400.096178,-55.69309,-68.116933,-1,0.0,0.0,0.0,0.0,90.8908745,0
09/05/2025 20:46:40,00:00:49,46.063215,198.893249,16.856939,476.613641,-55.786222,-64.503402,-1,0.0,0.0,0.0,0.0,103.02290333333333,0
09/05/2025 20:46:41,00:00:50,51.613897,197.999179,17.620623,544.004142,-55.618584,-61.132014,-1,0.0,0.0,0.0,0.0,115.74787383333334,0
09/05/2025 20:46:42,00:00:51,74.245036,196.676701,17.266721,596.232712,-55.506825,-60.740858,-1,0.0,0.0,0.0,0.0,128.0289145,0
09/05/2025 20:46:43,00:00:52,93.430281,205.617398,20.638108,-71.804971,-55.078417,-58.393925,-1,0.0,0.0,0.0,0.0,22.401412333333337,0
09/05/2025 20:46:44,00:00:53,108.927488,204.052776,19.967556,34.831464,-54.519624,-59.101731,-1,0.0,0.0,0.0,0.0,42.35965483333332,0
09/05/2025 20:46:45,00:00:54,109.728426,204.29492,19.539148,157.617033,-56.363642,-57.015568,-1,0.0,0.0,0.0,0.0,62.96671949999999,0
09/05/2025 20:46:46,00:00:55,116.247684,202.693045,18.663704,286.530703,-57.052821,-57.723373,-1,0.0,0.0,0.0,0.0,84.89315700000002,0
09/05/2025 20:46:47,00:00:56,123.623759,200.25298,18.868595,413.656235,-56.624413,-58.151782,-1,0.0,0.0,0.0,0.0,106.93756233333335,0
09/05/2025 20:46:48,00:00:57,121.51897,206.083059,23.860484,-218.786299,-54.985285,-57.835132,-1,0.0,0.0,0.0,0.0,3.3092994999999967,0
09/05/2025 20:46:49,00:00:58,102.818012,206.399709,22.891909,-167.991966,-56.27051,-58.729202,-1,0.0,0.0,0.0,0.0,8.18632533333333,0
09/05/2025 20:46:50,00:00:59,86.706132,204.686075,22.538006,-79.05066,-57.183206,-56.941062,-1,0.0,0.0,0.0,0.0,20.125880833333333,0
09/05/2025 20:46:51,00:01:00,72.848052,203.941017,20.712614,32.167882,-57.667494,-57.760626,-1,0.0,0.0,0.0,0.0,35.7069075,0
09/05/2025 20:46:52,00:01:01,67.949295,201.892108,23.99087,-139.549375,-56.438148,-59.9958,-1,0.0,0.0,0.0,0.0,6.308158333333331,0
